time,wind_kt,pressure_mb,status
2005-08-23T18:00:00.000Z,30,1008,TD
2005-08-24T00:00:00.000Z,30,1007,TD
2005-08-24T06:00:00.000Z,30,1007,TD
2005-08-24T12:00:00.000Z,35,1006,TS
2005-08-24T18:00:00.000Z,40,1003,TS
2005-08-25T00:00:00.000Z,45,1000,TS
2005-08-25T06:00:00.000Z,50,997,TS
2005-08-25T12:00:00.000Z,55,994,TS
2005-08-25T18:00:00.000Z,60,988,TS
2005-08-25T22:30:00.000Z,70,984,HU
2005-08-26T00:00:00.000Z,70,983,HU
2005-08-26T06:00:00.000Z,65,987,HU
2005-08-26T12:00:00.000Z,75,979,HU
2005-08-26T18:00:00.000Z,85,968,HU
2005-08-27T00:00:00.000Z,90,959,HU
2005-08-27T06:00:00.000Z,95,950,HU
2005-08-27T12:00:00.000Z,100,942,HU
2005-08-27T18:00:00.000Z,100,948,HU
2005-08-28T00:00:00.000Z,100,941,HU
2005-08-28T06:00:00.000Z,125,930,HU
2005-08-28T12:00:00.000Z,145,909,HU
2005-08-28T18:00:00.000Z,150,902,HU
2005-08-29T00:00:00.000Z,140,905,HU
2005-08-29T06:00:00.000Z,125,913,HU
2005-08-29T11:10:00.000Z,110,920,HU
2005-08-29T12:00:00.000Z,110,923,HU
2005-08-29T14:45:00.000Z,105,928,HU
2005-08-29T18:00:00.000Z,80,948,HU
2005-08-30T00:00:00.000Z,50,961,TS
2005-08-30T06:00:00.000Z,40,978,TS
2005-08-30T12:00:00.000Z,30,985,TD
2005-08-30T18:00:00.000Z,30,990,TD
2005-08-31T00:00:00.000Z,30,994,EX
2005-08-31T06:00:00.000Z,25,996,EX
