month,lumber_ppi
2015-01,202.5
2015-02,200.1
2015-03,195.7
2015-04,194.2
2015-05,190.1
2015-06,192.2
2015-07,197.1
2015-08,192.2
2015-09,184.2
2015-10,186.0
2015-11,191.2
2015-12,187.0
2016-01,188.4
2016-02,187.6
2016-03,192.8
2016-04,197.8
2016-05,201.0
2016-06,202.6
2016-07,203.4
2016-08,205.9
2016-09,203.5
2016-10,201.4
2016-11,198.8
2016-12,202.1
2017-01,203.6
2017-02,213.1
2017-03,216.4
2017-04,224.8
2017-05,227.7
2017-06,221.7
2017-07,222.9
2017-08,229.3
2017-09,227.4
2017-10,233.5
2017-11,233.2
2017-12,231.2
2018-01,233.2
2018-02,249.3
2018-03,254.3
2018-04,250.2
2018-05,265.5
2018-06,273.6
2018-07,265.7
2018-08,241.0
2018-09,237.7
2018-10,214.4
2018-11,207.8
2018-12,210.0
2019-01,208.9
2019-02,219.3
2019-03,216.3
2019-04,214.2
2019-05,214.0
2019-06,206.8
2019-07,214.4
2019-08,215.5
2019-09,219.7
2019-10,217.0
2019-11,218.0
2019-12,220.6
2020-01,221.2
2020-02,229.8
2020-03,240.5
2020-04,212.3
2020-05,222.5
2020-06,245.8
2020-07,271.1
2020-08,316.9
2020-09,398.9
2020-10,364.8
2020-11,299.4
2020-12,340.3
2021-01,396.9
2021-02,412.8
2021-03,441.8
2021-04,472.3
2021-05,581.5
2021-06,550.9
2021-07,369.9
2021-08,287.0
2021-09,273.9
2021-10,291.5
2021-11,309.0
2021-12,384.5
2022-01,480.6
2022-02,504.8
2022-03,540.7
2022-04,443.7
2022-05,453.3
2022-06,337.4
2022-07,337.8
2022-08,326.0
2022-09,309.1
2022-10,303.0
2022-11,299.4
2022-12,282.7
2023-01,268.0
2023-02,277.2
2023-03,274.3
2023-04,271.2
2023-05,270.9
2023-06,267.4
2023-07,279.4
2023-08,266.6
2023-09,262.0
2023-10,253.5
2023-11,240.8
2023-12,241.4
2024-01,244.3
2024-02,247.9
2024-03,255.8
2024-04,258.2
2024-05,248.9
2024-06,247.3
2024-07,242.8
2024-08,249.9
2024-09,256.2
2024-10,260.4
2024-11,269.3
2024-12,272.4
2025-01,267.5
2025-02,274.9
2025-03,288.0
2025-04,280.4
2025-05,271.5
2025-06,266.3
2025-07,261.4
2025-08,263.7
2025-09,252.8
2025-10,251.0
2025-11,251.4
2025-12,250.1
2026-01,260.0
2026-02,270.3
2026-03,268.3
2026-04,282.9
2026-05,284.5
2026-06,282.5
2026-07,300.5
2026-08,294.9
